
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu1.statFuBusy::FloatMultAcc                0      0.00%     69.97% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatDiv                    0      0.00%     69.97% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMisc                   0      0.00%     69.97% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatSqrt                   0      0.00%     69.97% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAdd                     1      0.00%     69.98% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAddAcc                  0      0.00%     69.98% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAlu                   117      0.16%     70.14% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdCmp                     0      0.00%     70.14% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdCvt                   247      0.34%     70.48% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMisc                   14      0.02%     70.50% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMult                    0      0.00%     70.50% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMultAcc                 0      0.00%     70.50% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShift                  43      0.06%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShiftAcc                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdDiv                     0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSqrt                    0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatAdd                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatAlu                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatCmp                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatCvt                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatDiv                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMisc               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMult               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMultAcc            0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatSqrt               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceAdd               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceAlu               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceCmp               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatReduceAdd            0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatReduceCmp            0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAes                     0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAesMix                  0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha1Hash                0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha1Hash2               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha256Hash              0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha256Hash2             0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShaSigma2               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShaSigma3               0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdPredAlu                 0      0.00%     70.56% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::MemRead                 12649     17.46%     88.02% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::MemWrite                 7790     10.75%     98.77% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMemRead              729      1.01%     99.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMemWrite             160      0.22%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statIssuedInstType_0::No_OpClass        15066      0.34%      0.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntAlu      3426669     78.37%     78.72% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntMult           59      0.00%     78.72% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntDiv        38026      0.87%     79.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatAdd         4489      0.10%     79.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatCmp            0      0.00%     79.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatCvt         2032      0.05%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMult            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMultAcc            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatDiv            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMisc            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatSqrt            0      0.00%     79.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAdd         9422      0.22%     79.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAddAcc            0      0.00%     79.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAlu        18457      0.42%     80.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdCmp           18      0.00%     80.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdCvt        19605      0.45%     80.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMisc         9840      0.23%     81.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMult            0      0.00%     81.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMultAcc            0      0.00%     81.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShift         3296      0.08%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShiftAcc            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdDiv            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSqrt            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatAdd            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatAlu            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatCmp            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatCvt            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatDiv            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMisc            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMult            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceAdd            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceAlu            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceCmp            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAes            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAesMix            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha1Hash            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha256Hash            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShaSigma2            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShaSigma3            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdPredAlu            0      0.00%     81.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::MemRead       589721     13.49%     94.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::MemWrite       186555      4.27%     98.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMemRead        34071      0.78%     99.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMemWrite        14995      0.34%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::total       4372321                       # Number of instructions issued per FU type, per thread (Count)
system.cpu1.issueRate                        1.967780                       # Inst issue rate ((Count/Cycle))
system.cpu1.fuBusy                              72439                       # FU busy when requested (Count)
system.cpu1.fuBusyRate                       0.016568                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu1.intInstQueueReads                10695221                       # Number of integer instruction queue reads (Count)
system.cpu1.intInstQueueWrites                5611175                       # Number of integer instruction queue writes (Count)
system.cpu1.intInstQueueWakeupAccesses        4203688                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu1.fpInstQueueReads                   236291                       # Number of floating instruction queue reads (Count)
system.cpu1.fpInstQueueWrites                  186079                       # Number of floating instruction queue writes (Count)
system.cpu1.fpInstQueueWakeupAccesses          112573                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu1.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu1.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu1.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu1.intAluAccesses                    4311005                       # Number of integer alu accesses (Count)
system.cpu1.fpAluAccesses                      118689                       # Number of floating point alu accesses (Count)
system.cpu1.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu1.idleCycles                              0                       # Number of cycles IEW is idle (Cycle)
system.cpu1.squashCycles                        17003                       # Number of cycles IEW is squashing (Cycle)
system.cpu1.blockCycles                        551319                       # Number of cycles IEW is blocking (Cycle)
system.cpu1.unblockCycles                       20816                       # Number of cycles IEW is unblocking (Cycle)
system.cpu1.dispatchedInsts                   4758902                       # Number of instructions dispatched to IQ (Count)
system.cpu1.dispSquashedInsts                    1130                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu1.dispLoadInsts                      650774                       # Number of dispatched load instructions (Count)
system.cpu1.dispStoreInsts                     212030                       # Number of dispatched store instructions (Count)
system.cpu1.dispNonSpecInsts                     1274                       # Number of dispatched non-speculative instructions (Count)
system.cpu1.iqFullEvents                         7468                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu1.lsqFullEvents                       10128                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu1.memOrderViolationEvents               195                       # Number of memory order violations (Count)
system.cpu1.predictedTakenIncorrect              7545                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu1.predictedNotTakenIncorrect          11149                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu1.branchMispredicts                   18694                       # Number of branch mispredicts detected at execute (Count)
system.cpu1.numInsts                          4341159                       # Number of executed instructions (Count)
system.cpu1.numLoadInsts                       615727                       # Number of load instructions executed (Count)
system.cpu1.numSquashedInsts                    31162                       # Number of squashed instructions skipped in execute (Count)
system.cpu1.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu1.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu1.numRefs                            815581                       # Number of memory reference insts executed (Count)
system.cpu1.numBranches                        391790                       # Number of branches executed (Count)
system.cpu1.numStoreInsts                      199854                       # Number of stores executed (Count)
system.cpu1.numRate                          1.953756                       # Inst execution rate ((Count/Cycle))
system.cpu1.instsToCommit                     4325998                       # Cumulative count of insts sent to commit (Count)
system.cpu1.writebackCount                    4316261                       # Cumulative count of insts written-back (Count)
system.cpu1.producerInst                      3477587                       # Number of instructions producing a value (Count)
system.cpu1.consumerInst                      6449114                       # Number of instructions consuming a value (Count)
system.cpu1.wbRate                           1.942550                       # Insts written-back per cycle ((Count/Cycle))
system.cpu1.wbFanout                         0.539235                       # Average fanout of values written-back ((Count/Count))
system.cpu1.timesIdled                           1963                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu1.idleCycles                         110544                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu1.quiesceCycles                       25017                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu1.committedInsts                    2126576                       # Number of Instructions Simulated (Count)
system.cpu1.committedOps                      3720718                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu1.cpi                              1.044851                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu1.totalCpi                         1.044851                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu1.ipc                              0.957074                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu1.totalIpc                         0.957074                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu1.intRegfileReads                   6812808                       # Number of integer regfile reads (Count)
system.cpu1.intRegfileWrites                  3704774                       # Number of integer regfile writes (Count)
system.cpu1.fpRegfileReads                     158889                       # Number of floating regfile reads (Count)
system.cpu1.fpRegfileWrites                     87535                       # Number of floating regfile writes (Count)
system.cpu1.ccRegfileReads                    2470697                       # number of cc regfile reads (Count)
system.cpu1.ccRegfileWrites                   1978954                       # number of cc regfile writes (Count)
system.cpu1.miscRegfileReads                  1644621                       # number of misc regfile reads (Count)
system.cpu1.miscRegfileWrites                     927                       # number of misc regfile writes (Count)
system.cpu1.MemDepUnit__0.insertedLoads        650774                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__0.insertedStores       212030                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__0.conflictingLoads        16294                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__0.conflictingStores        10682                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.branchPred.lookups                 509222                       # Number of BP lookups (Count)
system.cpu1.branchPred.condPredicted           448121                       # Number of conditional branches predicted (Count)
system.cpu1.branchPred.condIncorrect            17351                       # Number of conditional branches incorrect (Count)
system.cpu1.branchPred.BTBLookups              266030                       # Number of BTB lookups (Count)
system.cpu1.branchPred.BTBHits                 261574                       # Number of BTB hits (Count)
system.cpu1.branchPred.BTBHitRatio           0.983250                       # BTB Hit Ratio (Ratio)
system.cpu1.branchPred.RASUsed                  14128                       # Number of times the RAS was used to get a target. (Count)
system.cpu1.branchPred.RASIncorrect                23                       # Number of incorrect RAS predictions. (Count)
system.cpu1.branchPred.indirectLookups          10392                       # Number of indirect predictor lookups. (Count)
system.cpu1.branchPred.indirectHits              5411                       # Number of indirect target hits. (Count)
system.cpu1.branchPred.indirectMisses            4981                       # Number of indirect misses. (Count)
system.cpu1.branchPred.indirectMispredicted         1393                       # Number of mispredicted indirect branches. (Count)
system.cpu1.commit.commitSquashedInsts        1033773                       # The number of squashed insts skipped by commit (Count)
system.cpu1.commit.commitNonSpecStalls           1704                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu1.commit.branchMispredicts            16380                       # The number of times a branch was mispredicted (Count)
system.cpu1.commit.numCommittedDist::samples      1966271                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::mean     1.892271                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::stdev     2.640457                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::0        1004090     51.07%     51.07% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::1         232339     11.82%     62.88% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::2          94889      4.83%     67.71% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::3         253959     12.92%     80.62% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::4          43170      2.20%     82.82% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::5          98286      5.00%     87.82% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::6          14495      0.74%     88.55% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::7          14700      0.75%     89.30% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::8         210343     10.70%    100.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::total      1966271                       # Number of insts commited each cycle
system.cpu1.commit.instsCommitted             2126576                       # Number of instructions committed (Count)
system.cpu1.commit.opsCommitted               3720718                       # Number of ops (including micro ops) committed (Count)
system.cpu1.commit.memRefs                     693552                       # Number of memory references committed (Count)
system.cpu1.commit.loads                       514781                       # Number of loads committed (Count)
system.cpu1.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu1.commit.membars                        518                       # Number of memory barriers committed (Count)
system.cpu1.commit.branches                    358969                       # Number of branches committed (Count)
system.cpu1.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu1.commit.floating                     87701                       # Number of committed floating point instructions. (Count)
system.cpu1.commit.integer                    3656711                       # Number of committed integer instructions. (Count)
system.cpu1.commit.functionCalls                10529                       # Number of function calls committed. (Count)
system.cpu1.commit.committedInstType_0::No_OpClass        10422      0.28%      0.28% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntAlu      2930880     78.77%     79.05% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntMult           50      0.00%     79.05% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntDiv        35820      0.96%     80.02% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatAdd         3222      0.09%     80.10% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCmp            0      0.00%     80.10% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCvt         1648      0.04%     80.15% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMult            0      0.00%     80.15% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMultAcc            0      0.00%     80.15% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatDiv            0      0.00%     80.15% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMisc            0      0.00%     80.15% # Class of committed instruction (Count)
